,Calculation
0,0.006196345316081663
1,0.006641384920089922
2,0.007345233760206227
3,0.007617334171793706
4,0.008006758231083894
5,0.008579469928935091
6,0.009701651749261795
7,0.010876539100399728
8,0.012312854781097754
9,0.013682605619328613
10,0.014307162148094068
11,0.013682605619328629
12,0.012312854781097764
13,0.010876539100399707
14,0.009701651749261804
15,0.008579469928935076
16,0.00800675823108388
17,0.007617334171793713
18,0.007345233760206233
19,0.006641384920089928
20,0.006196345316081668
