,Calculation
0,0.006509806372658326
1,0.006895698861430756
2,0.007274971007166628
3,0.007686309357039574
4,0.00818758092535478
5,0.008860225614571277
6,0.009790722092468824
7,0.01103650258929765
8,0.01254150726293922
9,0.013968208356539644
10,0.014616784613306618
11,0.01396820835653966
12,0.01254150726293923
13,0.011036502589297635
14,0.009790722092468836
15,0.008860225614571263
16,0.00818758092535477
17,0.007686309357039576
18,0.007274971007166633
19,0.006895698861430761
20,0.0065098063726583295
