,Calculation
0,0.0047738522681985964
1,0.004897551274996384
2,0.0058284024975704595
3,0.006518309642124196
4,0.006973685907833183
5,0.008210572435125468
6,0.009091572853352074
7,0.01031010530513858
8,0.011843670902510844
9,0.01381078520863876
10,0.014616784613306618
11,0.013810785208638758
12,0.011843670902510864
13,0.010310105305138585
14,0.009091572853352064
15,0.008210572435125477
16,0.006973685907833193
17,0.006518309642124203
18,0.005828402497570451
19,0.004897551274996394
20,0.004773852268198585
