,Calculation
0,0.007897362606185033
1,0.009920193362073905
2,0.011524109091188171
3,0.01309842753743957
4,0.014667623442484285
5,0.016213095423958525
6,0.017765520717500913
7,0.019400833622076702
8,0.021371666080592214
9,0.02343705975401209
10,0.025971988028706847
11,0.029039644322237237
12,0.033219183907093865
13,0.03828675348560636
14,0.04404251148949672
15,0.051261777099325945
16,0.05948099608906059
17,0.0661870791884869
18,0.06936934806331042
19,0.06618707918848656
20,0.05948099608906032
21,0.05126177709932581
22,0.04404251148949642
23,0.03828675348560632
24,0.033219183907093774
25,0.02903964432223712
26,0.025971988028706854
27,0.023437059754011984
28,0.02137166608059216
29,0.01940083362207665
30,0.017765520717500857
31,0.01621309542395848
32,0.014667623442484243
33,0.013098427537439556
34,0.01152410909118757
35,0.009920193362073894
36,0.007897362606184972
