,Calculation
0,0.013587594743555642
1,0.013367021126566158
2,0.013231912942878326
3,0.01318303383333128
4,0.013848127761506276
5,0.014836919721750531
6,0.016097337510664656
7,0.01703828604794654
8,0.018576502577556955
9,0.019817167662615612
10,0.021736636815087668
11,0.024059466381436263
12,0.02686757722415313
13,0.030407225882783762
14,0.034487304380694056
15,0.038516718319410385
16,0.04214243657959946
17,0.044937048665886034
18,0.04601148976843398
19,0.044937048665886055
20,0.04214243657959935
21,0.038516718319410316
22,0.03448730438069398
23,0.030407225882783776
24,0.026867577224153026
25,0.0240594663814362
26,0.02173663681508761
27,0.019817167662615584
28,0.018576502577556945
29,0.017038286047946542
30,0.016097337510664604
31,0.014836919721750481
32,0.013848127761506237
33,0.013183033833331309
34,0.013231912942878295
35,0.013367021126566256
36,0.01358759474355562
