,Calculation
0,0.10190524105016747
1,0.12187975946031025
2,0.1353923755438493
3,0.14729023564326818
4,0.1591462855343457
5,0.17168582652609649
6,0.18538143835479126
7,0.20063655209787565
8,0.2178569894479143
9,0.2374823464988365
10,0.2599927877169579
11,0.28588352609981443
12,0.3155776109476843
13,0.34921716376631584
14,0.38623899086647984
15,0.424657728607263
16,0.4602244191822085
17,0.4863207744587876
18,0.4960451405686676
19,0.4863207744587869
20,0.4602244191822076
21,0.4246577286072618
22,0.3862389908664786
23,0.3492171637663148
24,0.3155776109476833
25,0.28588352609981355
26,0.2599927877169571
27,0.2374823464988359
28,0.21785698944791368
29,0.20063655209787512
30,0.1853814383547908
31,0.1716858265260961
32,0.15914628553434534
33,0.14729023564326782
34,0.13539237554384895
35,0.12187975946030978
36,0.10190524105016664
