,Calculation
0,0.04684404556455783
1,0.04378276222436205
2,0.041078239498146006
3,0.03868574508428016
4,0.038295271763445535
5,0.0385322089384195
6,0.03911079310167065
7,0.03856509713392522
8,0.03899027316661851
9,0.03838075510336888
10,0.038646723583593334
11,0.039070565794284584
12,0.039671090785463416
13,0.04069882350124724
14,0.04184220450608733
15,0.042589048100938484
16,0.04306012480586182
17,0.04349070770366908
18,0.043670796484121734
19,0.0434907077036691
20,0.04306012480586186
21,0.04258904810093852
22,0.04184220450608746
23,0.040698823501247004
24,0.03967109078546365
25,0.039070565794284765
26,0.0386467235835933
27,0.038380755103368865
28,0.038990273166618586
29,0.0385650971339253
30,0.039110793101670614
31,0.03853220893841959
32,0.0382952717634455
33,0.03868574508428013
34,0.04107823949814597
35,0.04378276222436204
36,0.04684404556455783
