,Calculation
0,0.1000148223554884
1,0.10544166553831627
2,0.11146125313531716
3,0.1181699568771888
4,0.1256842750721166
5,0.13414553331627202
6,0.143725467206075
7,0.1546324559024365
8,0.1671175556807643
9,0.1814780686653393
10,0.1980532977037721
11,0.21720070047076
12,0.23922808504352697
13,0.2642360564756132
14,0.2917999096060131
15,0.32043328557224315
16,0.3469589400873295
17,0.3664294809420083
18,0.3736862147357949
19,0.3664294809420078
20,0.3469589400873289
21,0.3204332855722423
22,0.2917999096060121
23,0.2642360564756124
24,0.23922808504352625
25,0.21720070047075926
26,0.1980532977037716
27,0.1814780686653388
28,0.16711755568076386
29,0.15463245590243613
30,0.14372546720607468
31,0.13414553331627174
32,0.12568427507211632
33,0.1181699568771886
34,0.11146125313531698
35,0.10544166553831613
36,0.10001482235548824
