,Calculation
0,0.008784121152999787
1,0.008648789925410972
2,0.008569849924238466
3,0.008547625461369229
4,0.008989449647858562
5,0.009643019294555777
6,0.010474914013930236
7,0.01110033797375832
8,0.012116138658564894
9,0.012938968542123857
10,0.014205933182214015
11,0.01573764533119818
12,0.017587835464599362
13,0.01991784702757958
14,0.02260250971761033
15,0.025253855824447783
16,0.027639340197288444
17,0.02947748693304634
18,0.030184096627777057
19,0.029477486933046287
20,0.02763934019728835
21,0.025253855824447728
22,0.02260250971761029
23,0.01991784702757953
24,0.01758783546459935
25,0.015737645331198185
26,0.01420593318221396
27,0.012938968542123841
28,0.012116138658564876
29,0.011100337973758277
30,0.010474914013930204
31,0.009643019294555749
32,0.008989449647858541
33,0.008547625461369241
34,0.00856984992423851
35,0.008648789925411031
36,0.00878412115299981
