,Calculation
0,0.005364630930688212
1,0.006002693753127025
2,0.006260053730932307
3,0.00641573961907992
4,0.006863708202045327
5,0.007451464800607364
6,0.00816761247346557
7,0.008717153724478458
8,0.0095703640225238
9,0.010270002465057913
10,0.01132193192436855
11,0.012586439728022916
12,0.014107793805449487
13,0.01601653139881044
14,0.018212590572202318
15,0.02038195792005374
16,0.02233364540573482
17,0.023836225473423563
18,0.02464142677731504
19,0.023836225473423543
20,0.0223336454057348
21,0.020381957920053703
22,0.018212590572202314
23,0.0160165313988103
24,0.014107793805449525
25,0.012586439728022931
26,0.011321931924368513
27,0.01027000246505788
28,0.009570364022523795
29,0.008717153724478453
30,0.00816761247346554
31,0.007451464800607366
32,0.006863708202045303
33,0.0064157396190799
34,0.006260053730932287
35,0.006002693753126997
36,0.005364630930688168
