,Calculation
0,0.10173444167798942
1,0.1217431965995562
2,0.13528692127395495
3,0.14720441392731642
4,0.1590734286421584
5,0.1716221033285332
6,0.18532451489714996
7,0.20058491894528588
8,0.21780961433646254
9,0.2374384836153512
10,0.2599518668283561
11,0.2858450852463696
12,0.31554125449253234
13,0.34918253601506216
14,0.3862057595914377
15,0.4246255749547075
16,0.4601930316530972
17,0.4862898454073661
18,0.496014364166527
19,0.4862898454073655
20,0.4601930316530963
21,0.4246255749547064
22,0.3862057595914365
23,0.3491825360150611
24,0.3155412544925313
25,0.2858450852463687
26,0.2599518668283554
27,0.2374384836153505
28,0.217809614336462
29,0.20058491894528535
30,0.18532451489714946
31,0.1716221033285328
32,0.159073428642158
33,0.1472044139273161
34,0.1352869212739546
35,0.12174319659955572
36,0.10173444167798858
