,Calculation
0,0.098992132563128
1,0.09245061876468727
2,0.08665946953276557
3,0.08152769016525926
4,0.08061556288614093
5,0.0810221102623493
6,0.08214544160156481
7,0.08091001461688913
8,0.08171633704311793
9,0.08036042766709409
10,0.08084523367706832
11,0.08166674820603219
12,0.08286420371143781
13,0.0849604970405251
14,0.08730482430961826
15,0.0888294156061257
16,0.08978759109738653
17,0.09067066046229852
18,0.09189079307893466
19,0.09067066046229848
20,0.0897875910973864
21,0.08882941560612574
22,0.08730482430961843
23,0.08496049704052516
24,0.08286420371143803
25,0.08166674820603245
26,0.08084523367706825
27,0.0803604276670942
28,0.08171633704311804
29,0.080910014616889
30,0.08214544160156476
31,0.08102211026234926
32,0.08061556288614091
33,0.08152769016525951
34,0.08665946953276614
35,0.09245061876468806
36,0.09899213256312843
