,Calculation
0,0.0622312349595171
1,0.07298008561871992
2,0.08271400756799463
3,0.09334179601282178
4,0.10478064852681146
5,0.11676752064925712
6,0.1293871427662772
7,0.14301348651796142
8,0.15816475140007086
9,0.17545994242834378
10,0.19564527282305408
11,0.21964573565293352
12,0.2486076756488223
13,0.28386519312761893
14,0.32663984707398513
15,0.3769838500921516
16,0.4310881186402919
17,0.4771098945744111
18,0.496014364166527
19,0.4771098945744101
20,0.4310881186402903
21,0.37698385009215
22,0.32663984707398364
23,0.2838651931276179
24,0.2486076756488213
25,0.2196457356529327
26,0.19564527282305344
27,0.17545994242834326
28,0.1581647514000703
29,0.14301348651796095
30,0.1293871427662768
31,0.11676752064925675
32,0.10478064852681107
33,0.09334179601282143
34,0.08271400756799431
35,0.07298008561871965
36,0.06223123495951668
