,Calculation
0,0.0862863645990467
1,0.09015691550828124
2,0.09124504077072984
3,0.09123337979795727
4,0.09060846896493596
5,0.08961661378117097
6,0.08844272186926817
7,0.08725626495031184
8,0.08682798980493563
9,0.0857873423847107
10,0.08525096552821063
11,0.08494145149725922
12,0.08593561999178596
13,0.08689517575251095
14,0.08709741333374353
15,0.08816115106414882
16,0.0898902829196996
17,0.09086311997612552
18,0.09189079307893466
19,0.09086311997612508
20,0.08989028291969985
21,0.08816115106414879
22,0.08709741333374342
23,0.08689517575251117
24,0.08593561999178606
25,0.08494145149725896
26,0.08525096552821097
27,0.08578734238471071
28,0.08682798980493606
29,0.08725626495031194
30,0.08844272186926799
31,0.08961661378117072
32,0.09060846896493614
33,0.09123337979795727
34,0.09124504077072974
35,0.09015691550827516
36,0.08628636459904693
