,Calculation
0,0.005369707029165834
1,0.006579659412914063
2,0.007547242992852125
3,0.008515887526661225
4,0.009494014140167458
5,0.010464309800209385
6,0.011443351081137148
7,0.012478822671079092
8,0.013733127422065528
9,0.015052242155901957
10,0.016678948409195548
11,0.01865702760154348
12,0.021364254741598376
13,0.024666515846844917
14,0.02844948577187365
15,0.03323533015671862
16,0.03875063294789687
17,0.043351693592511314
18,0.04557915330180568
19,0.043351693592511016
20,0.03875063294789682
21,0.033235330156718465
22,0.028449485771873492
23,0.024666515846844886
24,0.02136425474159832
25,0.018657027601543343
26,0.01667894840919556
27,0.015052242155901913
28,0.01373312742206555
29,0.012478822671079064
30,0.011443351081137091
31,0.01046430980020932
32,0.009494014140167442
33,0.008515887526661192
34,0.0075472429928520905
35,0.006579659412913593
36,0.005369707029165812
