,Calculation
0,0.13508031846613885
1,0.1260480802182744
2,0.1180354803727044
3,0.11092313820938364
4,0.10955292450842996
5,0.10997181399632812
6,0.1113612710632657
7,0.10955674233833898
8,0.11052378152297153
9,0.10857536384456667
10,0.10912496801208343
11,0.11013836566262633
12,0.111668376036527
13,0.11441911374144162
14,0.11751355251126745
15,0.11951585234299822
16,0.12076898544308058
17,0.12193489168926205
18,0.12242583548922133
19,0.12193489168926305
20,0.12076898544308058
21,0.1195158523429992
22,0.11751355251126745
23,0.11441911374144262
24,0.111668376036527
25,0.11013836566262633
26,0.10912496801208343
27,0.10857536384456667
28,0.11052378152297153
29,0.10955674233834001
30,0.1113612710632657
31,0.10997181399632812
32,0.10955292450842996
33,0.11092313820938468
34,0.1180354803727044
35,0.12604808021827535
36,0.13508031846613885
