,Calculation
0,0.15206423244893386
1,0.14189635313051355
2,0.13287631335512384
3,0.12486972243010525
4,0.12332722906695255
5,0.12379878635362035
6,0.12536294258899106
7,0.12333152692012148
8,0.12442015384245085
9,0.12222675777912452
10,0.12284546475904032
11,0.1239862788883312
12,0.12570866047424936
13,0.12880525383822744
14,0.13228876247765756
15,0.13454281540337024
16,0.13595350739154527
17,0.1372660053220081
18,0.13910483904600246
19,0.1372660053220081
20,0.13595350739154527
21,0.13454281540337024
22,0.13228876247765756
23,0.12880525383822844
24,0.12570866047424936
25,0.1239862788883312
26,0.12284546475904032
27,0.12222675777912452
28,0.12442015384245085
29,0.12333152692012148
30,0.12536294258899106
31,0.12379878635362035
32,0.12332722906695255
33,0.12486972243010623
34,0.13287631335512384
35,0.14189635313051455
36,0.15206423244893386
