,Calculation
0,0.1256890190171559
1,0.11728473645553325
2,0.1098292031417065
3,0.10321133815905766
4,0.10193638694579137
5,0.10232615363725607
6,0.1036190103442354
7,0.10193993934558984
8,0.1028397462741468
9,0.10102679003140799
10,0.10153818361892206
11,0.10248112599585267
12,0.10390476420729068
13,0.10646426012520246
14,0.10934356169781104
15,0.11120665400086614
16,0.11237266450362272
17,0.11345751249637676
18,0.11391432400903888
19,0.11345751249637695
20,0.1123726645036227
21,0.11120665400086624
22,0.10934356169781112
23,0.10646426012520284
24,0.10390476420729056
25,0.10248112599585273
26,0.10153818361892206
27,0.10102679003140813
28,0.10283974627414699
29,0.10193993934559012
30,0.1036190103442353
31,0.10232615363725596
32,0.1019363869457913
33,0.1032113381590581
34,0.10982920314170648
35,0.11728473645553425
36,0.1256890190171559
