,Calculation
0,0.14166548987889185
1,0.13219292962276985
2,0.12378971518549715
3,0.11633064603171993
4,0.11489363435312322
5,0.11533294472181355
6,0.11679013788132475
7,0.114897638302407
8,0.1159118206894383
9,0.11386841756428916
10,0.1144448149589276
11,0.11550761578910328
12,0.1171122142354172
13,0.11999705052333913
14,0.12324234331806612
15,0.12534225535386506
16,0.12665647874719427
17,0.127879222973694
18,0.12959231010878325
19,0.127879222973694
20,0.12665647874719427
21,0.12534225535386506
22,0.12324234331806612
23,0.11999705052334005
24,0.1171122142354172
25,0.11550761578910328
26,0.1144448149589276
27,0.11386841756428916
28,0.1159118206894383
29,0.114897638302407
30,0.11679013788132475
31,0.11533294472181355
32,0.11489363435312322
33,0.11633064603172084
34,0.12378971518549715
35,0.13219292962277074
36,0.14166548987889185
