,Calculation
0,0.1001793170949572
1,0.10561508582636353
2,0.11164457386082116
3,0.11836431143196133
4,0.12589098845315758
5,0.13436616295929965
6,0.14396185300096312
7,0.15488678046101725
8,0.16739241452803258
9,0.1817765463001673
10,0.19837903667765067
11,0.21755793124710826
12,0.2396215443388201
13,0.2646706464718213
14,0.2922798339709943
15,0.32096030335406744
16,0.3475295847089156
17,0.3670321488324436
18,0.374300817802504
19,0.3670321488324431
20,0.3475295847089149
21,0.32096030335406656
22,0.2922798339709934
23,0.2646706464718205
24,0.23962154433881935
25,0.2175579312471076
26,0.1983790366776501
27,0.1817765463001668
28,0.16739241452803216
29,0.1548867804610169
30,0.1439618530009628
31,0.1343661629592994
32,0.1258909884531573
33,0.11836431143196112
34,0.11164457386082097
35,0.10561508582636338
36,0.10017931709495703
