,Calculation
0,0.06269097690757887
1,0.0732494878552068
2,0.08297575227639575
3,0.09360301286704548
4,0.10501525120727116
5,0.11696071332782974
6,0.12954047780650005
7,0.1431347920035657
8,0.15826185600464632
9,0.1755389830784194
10,0.19571076314815444
11,0.2197009929686824
12,0.2486551940524307
13,0.2839068992684559
14,0.3266772649168561
15,0.37701821061077
16,0.4311204403978563
17,0.4771410502259707
18,0.4960451405686676
19,0.4771410502259697
20,0.4311204403978547
21,0.3770182106107684
22,0.3266772649168547
23,0.28390689926845475
24,0.2486551940524297
25,0.2197009929686816
26,0.19571076314815372
27,0.17553898307841884
28,0.15826185600464582
29,0.1431347920035652
30,0.1295404778064997
31,0.11696071332782937
32,0.10501525120727076
33,0.09360301286704513
34,0.08297575227639545
35,0.07324948785520649
36,0.06269097690757845
