,Calculation
0,0.12597287513684127
1,0.13543020780818668
2,0.1388852619594321
3,0.13993596077985954
4,0.13967136462431004
5,0.1386200114778264
6,0.13714262150582773
7,0.13554240272758705
8,0.1350399055092895
9,0.13351484293116786
10,0.13270597697810754
11,0.13217802946560525
12,0.13359537504810526
13,0.13485672093302414
14,0.13481964072616487
15,0.13596631583466964
16,0.1379683970311614
17,0.13871596073559625
18,0.13984482941166446
19,0.1387159607355958
20,0.1379683970311613
21,0.13596631583466987
22,0.1348196407261645
23,0.13485672093302456
24,0.13359537504810542
25,0.13217802946560522
26,0.13270597697810807
27,0.13351484293116764
28,0.13503990550928954
29,0.1355424027275871
30,0.13714262150582768
31,0.13862001147782646
32,0.13967136462431015
33,0.13993596077985998
34,0.1388852619594254
35,0.13543020780818713
36,0.12597287513684113
