,Calculation
0,0.13563273475578136
1,0.12656355881338965
2,0.11851819112475227
3,0.11137676275765948
4,0.11000094551373696
5,0.1104215480667162
6,0.11181668737312628
7,0.11000477895681242
8,0.11097577288632764
9,0.10901938707698604
10,0.1095712388724212
11,0.11058878085262204
12,0.11212504826428676
13,0.11488703521952945
14,0.11799412881874212
15,0.12000461713460142
16,0.12126287497191697
17,0.12243354923767333
18,0.122926500771664
19,0.12243354923767355
20,0.12126287497191693
21,0.12000461713460152
22,0.1179941288187422
23,0.11488703521952985
24,0.11212504826428664
25,0.11058878085262208
26,0.1095712388724212
27,0.10901938707698618
28,0.11097577288632786
29,0.11000477895681272
30,0.11181668737312618
31,0.11042154806671606
32,0.11000094551373688
33,0.11137676275765994
34,0.11851819112475225
35,0.12656355881339074
36,0.13563273475578136
