,Calculation
0,0.015578576461785891
1,0.017386293138359155
2,0.018086142730553725
3,0.01848993050050821
4,0.019731479741003977
5,0.021367563642743847
6,0.023363591299283632
7,0.02487644629989782
8,0.0272499937674903
9,0.02918110938538562
10,0.032108839096281434
11,0.03563419330012812
12,0.03988187409844643
13,0.04522028905224717
14,0.051366886535357016
15,0.05743858324878296
16,0.06290197040403178
17,0.06711042552798605
18,0.06936934806331042
19,0.06711042552798606
20,0.0629019704040316
21,0.05743858324878288
22,0.051366886535356884
23,0.04522028905224719
24,0.03988187409844626
25,0.035634193300128014
26,0.03210883909628134
27,0.029181109385385564
28,0.02724999376749028
29,0.02487644629989781
30,0.02336359129928356
31,0.021367563642743774
32,0.019731479741003914
33,0.01848993050050824
34,0.018086142730553662
35,0.017386293138359245
36,0.01557857646178576
